SOURCE MATERIAL,BINDER(Kg/m^3),FLY-ASH %,SLAG %,rest period hours,CURING TEMPERATURE,CURING PERIOD,NaOH/Na2SiO3,superplasticizer,extra water added,MOLARITY,ALKALINE ACTIVATOR /BINDER RATIO,COMPRESSIVE STRENGTH (MPa)
mix,400.0,0.2,0.8,0.0,20.0,48,0.4,8.0,35.0,8.0,0.4,39.0
mix,400.0,0.0,1.0,0.0,20.0,48,0.4,8.0,35.0,8.0,0.4,46.0
mix,400.0,1.0,0.0,0.0,20.0,48,0.4,8.0,35.0,10.0,0.4,11.5
mix,400.0,0.8,0.2,0.0,20.0,48,0.4,8.0,35.0,10.0,0.4,24.0
mix,400.0,0.6,0.4,0.0,20.0,48,0.4,8.0,35.0,10.0,0.4,29.0
mix,400.0,0.4,0.6,0.0,20.0,48,0.4,8.0,35.0,10.0,0.4,36.5
mix,400.0,0.2,0.8,0.0,20.0,48,0.4,8.0,35.0,10.0,0.4,41.3
mix,400.0,0.0,1.0,0.0,20.0,48,0.4,8.0,35.0,10.0,0.4,47.0
mix,400.0,1.0,0.0,0.0,20.0,48,0.4,8.0,35.0,12.0,0.4,13.0
mix,400.0,0.8,0.2,0.0,20.0,48,0.4,8.0,35.0,12.0,0.4,26.5
mix,400.0,0.6,0.4,0.0,20.0,48,0.4,8.0,35.0,12.0,0.4,33.0
mix,400.0,0.4,0.6,0.0,20.0,48,0.4,8.0,35.0,12.0,0.4,38.5
mix,400.0,0.2,0.8,0.0,20.0,48,0.4,8.0,35.0,12.0,0.4,46.4
mix,350.0,1.0,0.0,0.0,23.0,48,0.4,0.0,0.0,14.0,0.4,23.4
mix,350.0,0.9,0.1,0.0,23.0,48,0.4,0.0,0.0,14.0,0.4,29.52
mix,350.0,0.8,0.2,0.0,23.0,48,0.4,0.0,0.0,14.0,0.4,32.86
mix,350.0,0.7,0.3,0.0,23.0,48,0.4,0.0,0.0,14.0,0.4,35.73
mix,350.0,0.6,0.4,0.0,23.0,48,0.4,0.0,0.0,14.0,0.4,36.93
mix,350.0,0.5,0.5,0.0,23.0,48,0.4,0.0,0.0,14.0,0.4,39.23
Class F Fly-Ash,408.0,1.0,0.0,0.0,60.0,24,0.4,16.32,0.0,8.0,0.3,58.0
Class F Fly-Ash,408.0,1.0,0.0,0.0,60.0,24,0.4,16.32,0.0,8.0,0.35,45.0
Class F Fly-Ash,408.0,1.0,0.0,0.0,60.0,24,0.4,16.32,0.0,8.0,0.4,37.0
Class F Fly-Ash,408.0,1.0,0.0,0.0,60.0,24,0.4,16.32,0.0,8.0,0.45,32.0
Class F Fly-Ash,408.0,1.0,0.0,0.0,60.0,24,0.4,5.6,24.3,14.0,0.37,39.5
Class F Fly-Ash,515.0,0.666,0.334,0.0,25.0,48,0.4,7.7,97.85,12.0,0.35,30.26
Class F Fly-Ash,450.0,0.66667,0.3333,0.0,25.0,48,0.4,6.7,94.5,12.0,0.4,35.38
Class F Fly-Ash,350.0,1.0,0.0,0.0,65.0,48,0.4,0.0,0.0,8.0,0.41,35.3
Class F Fly-Ash,400.0,0.7,0.3,0.0,25.0,48,0.4,0.0,0.16,12.0,0.75,48.0
Class F Fly-Ash,408.0,1.0,0.0,0.0,60.0,24,0.4,6.0,26.0,16.0,0.35,42.0
Class F Fly-Ash,404.0,1.0,0.0,0.0,60.0,24,0.4,6.0,16.5,14.0,0.35,60.0
Class F Fly-Ash,406.0,1.0,0.0,72.0,60.0,24,0.4,6.1,25.6,14.0,0.35,35.0
Class F Fly-Ash,410.0,1.0,0.0,72.0,60.0,24,0.4,6.1,16.5,14.0,0.35,55.0
Class F Fly-Ash,400.0,0.9,0.1,0.0,22.0,48,0.4,0.0,0.0,14.0,0.4,40.0
Class F Fly-Ash,400.0,0.8,0.2,0.0,22.0,48,0.4,0.0,0.0,14.0,0.4,47.0
Class F Fly-Ash,400.0,0.9,0.1,0.0,22.0,48,0.66,0.0,0.0,14.0,0.4,43.0
Class F Fly-Ash,400.0,0.8,0.2,0.0,22.0,48,0.66,0.0,0.0,14.0,0.4,54.0
Class F Fly-Ash,408.0,1.0,0.0,0.0,60.0,24,0.4,0.0,20.0,14.0,0.35,39.0
Class F Fly-Ash,408.0,1.0,0.0,0.0,80.0,24,0.4,0.0,20.0,14.0,0.35,58.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,80.0,24,1.0,0.0,0.0,14.0,0.35,69.89
Class F Fly-Ash,416.0,1.0,0.0,0.0,80.0,24,0.22,0.0,8.0,15.0,0.37,40.5
Class F Fly-Ash,280.0,1.0,0.0,0.0,80.0,24,0.66,0.0,0.0,12.0,0.75,49.1
Class F Fly-Ash,280.0,1.0,0.0,24.0,80.0,24,0.66,0.0,0.0,12.0,0.75,49.1
Class C Fly-Ash,300.0,1.0,0.0,0.0,22.0,48,0.4,0.6,0.0,8.0,0.5,17.5
Class C Fly-Ash,300.0,1.0,0.0,0.0,60.0,24,0.4,0.6,0.0,8.0,0.5,18.0
Class C Fly-Ash,300.0,1.0,0.0,0.0,22.0,48,0.4,0.6,0.0,14.0,0.5,23.0
Class C Fly-Ash,300.0,1.0,0.0,0.0,60.0,24,0.4,0.6,0.0,14.0,0.5,26.0
